name,parent,mass,rx0,ry0,rz0,vx0,vy0,vz0,radius
Sun,,1.988544E+30,0,0,0,0,0,0,695700000
Mercury,Sun,3.302E+23,-2.673499147662203E7,  3.956057107676215E+7,  5.738928632523872E+6, -5.028159721621646E+1, -2.523861522326469E+1,  2.545641094190537E+0,2439700
Venus,Sun,48.685E+23,2.133024674742725E+7, -1.072242587438212E+8, -2.694497280501097E+6,  3.412250136060290E+1,  6.709884808580137E+0, -1.875225694625222E+0,6051.8e3
Earth,Sun,5.97219E+24,-2.567281541480396E+07,  1.448494576182652E+08, -1.645091449301690E+04, -2.981226757216321E+01, -5.322774963551892E+00,  1.728448223089485E-03,6378.1e3
Mars,Sun,6.4185E+23,-2.307442475194056E+08, -7.583941850324154E+07,  4.071455493200310E+06,  8.427287991272946E+00, -2.095542235097881E+01, -6.455367589648482E-01,0
Jupiter,Sun,1898.13E+24,-3.575754852559217E+08,  6.972319584763191E+08,  5.083267734793127E+06, -1.179467351126594E+01, -5.358415139853443E+00,  2.862430256902193E-01,0
Saturn,Sun,5.68319E+26,7.131372121627347E+08, -1.313033072869858E+09, -5.664312212350130E+06,  7.963282501131799E+00,  4.591851292801532E+00, -3.969522879170937E-01,0
Uranus,Sun,86.8103E24,-2.666198297994492E+09,  6.085807591790364E+08,  3.678062350042412E+07, -1.566732469720741E+00, -6.959098823787137E+00, -5.158342717646924E-03,0
Neptune,Sun,102.41E24,2.602851052207195E+09,  3.619433470432813E+09, -1.345223292422919E+08, -4.444225347575798E+00,  3.208390569039868E+00,  3.630549163108587E-02,0
Moon,Earth,734.9E+20,3.595805963066114E+05,  1.165753742259739E+05,  2.238725655597146E+04, -2.642335894183573E-01,  9.975510902141785E-01, -6.744078792438485E-02,0
Ceres,Sun,9.393E+20,-9.235178358847672E+07,  3.785778519602745E+08,  2.949311350076425E+07, -1.777194213544971E+01, -5.664828089845877E+00,  3.088507151795408E+00,0
Pluto,Sun, 1.307E22, 5.603301841289950E+09, -2.264349158974748E+09, -1.378500923587312E+09,  2.420133666996300E+00,  3.630702251362471E+00, -1.108654848204895E+00,0
Haumea,Sun, 4.01E21,-3.248210943971875E+09, -5.416720772982181E+09,  3.015255985089468E+09,  3.580223678039172E+00, -1.819079858376989E+00, -1.113142543992712E+00,0
Io,Jupiter,8.933E+22,3.022306780832154E+05, -2.942430347451144E+05, -6.260019167802908E+03,  1.214081331002717E+01,  1.235503305862676E+01,  6.313673947535881E-01,0
Europa,Jupiter,479.7E+20,5.915587492221428E+03,  6.660409194603480E+05,  2.711775666687472E+04, -1.382804045740556E+01,  2.336354936364405E-01, -2.880058175832551E-01,0
